00042+6217 
00049+5832 
00076+4009 
00084+2905 
00100+4623 
00116-0305 
00150+0849 
00174+0853 
00200+3814 
00224+1329 
00324+0657 
00345-0433 
00369+3343 
00405+5632 
00464+3057 
00474+5106 
00480+5127 
00491+5749 
00499+2743 
01038+0122 
01048-0528 
01057+2128 
01062+3211 
01072+5330 
01129+3205 
01137+0735 
01144-0755 
01201+5814 
01211+6439 
01259+6808 
01321+1657 
01349+1234 
01443+0929 
01486+1618 
01501+2217 
01520+1049 
01532+3719 
01535+1918 
01579+2336 
01581+4123 
01590-2255 
02020+0246 
02038-0020 
02039+4220 
02097+2021 
02109+3902 
02124+3018 
02128+7941 
02147+3024 
02187+3429 
02260-1520 
02291+6724 
02291+6724 
02318+8916 
02356+3719 
02370+2439 
02382-1123 
02388+3325 
02389+6918 
02407+2704 
02425+4016 
02442+4914 
02446+2928 
02493+1728 
02500+2716 
02507+5554 
02529+5300 
02537+3820 
03009+5221 
03112+2225 
03203+1944 
03229+2949 
03280+2028 
03305+2006 
03312+1947 
03322+1133 
03344+2428 
03345+1948 
03368+0035 
03401+3407 
03431+2541 
03483+1109 
03543-0257 
03579+4001 
04190-0725 
04204+2721 
04226+2538 
04233-0500 
04240+2418 
04270+1907 
04271+1812 
04278+1001 
04352-0944 
04360-0337 
04367+4105 
04409+0058 
04436-0848 
04480+5307 
04581+0141 
04590+1433 
04593+3753 
05020+0137 
05046+5852 
05081+2416 
05083-0840 
05098+2802 
05103+3718 
05123-1152 
05143+6949 
05145-0812 
05147-0704 
05172+3320 
05176-0651 
05193-1045 
05204-0802 
05231+0103 
05233-0825 
05244+1723 
05252+0155 
05265+0256 
05276+2156 
05293+2509 
05294-0716 
05296+0309 
05301+2933 
05308+0557 
05312+0318 
05320-0018 
05322+1703 
05331-0143 
05349-0007 
05351+0956 
05352+1014 
05353-0523 
05354-0555 
05355-0422 
05364+2200 
05366-0604 
05381-0011 
05386-0233 
05386+3030 
05387-0236 
05445-2227 
05447+0350 
05480+0627 
05492+3911 
05499+3147 
05506+5655 
05515+3909 
05549+0702 
05584+0150 
05597+3713 
06003+4436 
06085+1358 
06116+4843 
06171+1551 
06244-1613 
06278+2047 
06282+0516 
06288-0702 
06288-0702 
06305+0420 
06317+0546 
06323+1747 
06341+2207 
