00026    7.56  0.15 K243V 154.70563  194.48873   45.76936    3.56157  0.0884489  0.22748475   2.6576708  0 E2024-C37  3378  85 1861-2024 0.64 M-v 3Ek MPCLINUX   0000     (26) Proserpina         20240202
00027    7.08  0.15 K243V 108.67721  356.45241   94.76744    1.58333  0.1713950  0.27400461   2.3476363  0 E2024-N27  2927  78 1853-2024 0.88 M-v 3Ek MPCLINUX   0000     (27) Euterpe            20240701
00028    7.26  0.15 K243V 297.83671  343.33262  144.21012    9.41947  0.1499645  0.21268806   2.7795467  0 E2024-CB5  3647 105 1856-2024 0.66 M-v 3Ek MPCLINUX   0000     (28) Bellona            20240210
00029    5.99  0.15 K243V 359.81111   62.31345  356.30137    6.07758  0.0739795  0.24122342   2.5557776  0 E2024-EH9  2538  97 1855-2024 0.73 M-v 3Ek MPCLINUX   0000     (29) Amphitrite         20240305
00030    7.59  0.15 K243V 157.17392   87.04963  307.41505    2.09342  0.1269883  0.27085224   2.3658167  0 E2024-N16  3862  81 1860-2024 0.78 M-v 3Ek MPCLINUX   0000     (30) Urania             20240630
00031    6.86  0.15 K243V  42.82667   61.80841   30.79895   26.32078  0.2159567  0.17549538   3.1595526  0 E2024-MB4  2886  65 1860-2024 0.85 M-v 3Ek MPCLINUX   0000     (31) Euphrosyne         20240628
00032    7.79  0.15 K243V  99.45962  338.24629  220.36387    5.52212  0.0816254  0.23685588   2.5871004  0 E2024-N27  7507  77 1864-2024 0.52 M-v 3Ek MPCLINUX   0000     (32) Pomona             20240702
00033    8.51  0.15 K243V 345.81800  338.62372    8.43129    1.85221  0.3315890  0.20242802   2.8726913  0 E2024-MB4  4548  75 1856-2024 0.76 M-v 3Ek MPCLINUX   0000     (33) Polyhymnia         20240628
00034    8.79  0.15 K243V 170.38057  329.88363  184.32738    5.49762  0.1067847  0.22390325   2.6859367  0 E2024-N27  9575  73 1864-2024 0.56 M-v 3Ek MPCLINUX   0000     (34) Circe              20240702
00035    8.71  0.15 K243V 196.58721  214.32489  353.57261    7.88946  0.2208566  0.18913290   3.0057855  0 E2024-C82  6020  68 1860-2024 0.46 M-v 3Ek MPCLINUX   0000     (35) Leukothea          20240207
00036    8.59  0.15 K243V 329.45122   47.85281  358.19332   18.37427  0.3062505  0.21669638   2.7451639  0 E2024-JQ5  3253  57 1866-2023 0.54 M-v 3Ek MPCLINUX   0000     (36) Atalante           20231129
00037    7.39  0.15 K243V  35.31553   62.17491    7.24171    3.06852  0.1750387  0.22951033   2.6420106  0 E2024-KD4  3510  93 1855-2024 0.66 M-v 3Ek MPCLINUX   0000     (37) Fides              20240529
00038    8.49  0.15 K243V  35.73521  169.57651  295.50707    6.95146  0.1508780  0.21715978   2.7412572  0 E2024-N27  4012  66 1856-2024 0.78 M-v 3Ek MPCLINUX   0000     (38) Leda               20240701
00039    5.97  0.15 K243V 325.72517  209.90500  156.92736   10.37120  0.1119366  0.21398869   2.7682724  0 E2024-L29 11840  92 1856-2024 0.45 M-v 3Ek MPCLINUX   0000     (39) Laetitia           20240602
00040    6.55  0.15 K243V 267.71629  269.19368   94.15589    4.25576  0.0461503  0.28866865   2.2674426  0 E2024-MB4 10141  79 1860-2024 0.59 M-v 3Ek MPCLINUX   0000     (40) Harmonia           20240628
00041    7.64  0.15 K243V 160.52248   46.29431  178.02522   15.76508  0.2730023  0.21425416   2.7659854  0 E2024-CG3  6613  68 1866-2024 0.46 M-v 3Ek Veres      0000     (41) Daphne             20240207
00042    7.71  0.15 K243V 308.31689  237.24368   84.16599    8.51104  0.2221022  0.25812873   2.4429345  0 E2024-MB4  7975  79 1856-2024 0.53 M-v 3Ek MPCLINUX   0000     (42) Isis               20240628
00043    7.96  0.15 K243V 320.64893   16.13801  264.74780    3.47052  0.1685607  0.30135743   2.2033396  0 E2024-N27  3379  80 1864-2024 0.79 M-v 3Ek MPCLINUX   0000     (43) Ariadne            20240630
00044    6.75  0.15 K243V 192.10165  344.13007  131.48719    3.71197  0.1494500  0.26141804   2.4223990  0 E2024-L88  8202  85 1864-2024 0.45 M-v 3Ek MPCLINUX   0000     (44) Nysa               20240607
00045    7.78  0.15 K243V  74.58052   87.38885  147.58412    6.60563  0.0830808  0.21972870   2.7198494  0 E2024-N27 11564  80 1866-2024 0.50 M-v 3Ek MPCLINUX   0000     (45) Eugenia            20240702
00046    8.55  0.15 K243V 152.38414  177.08008  181.06973    2.35176  0.1724180  0.24566398   2.5248858  0 E2024-N27  4950  81 1864-2024 0.77 M-v 3Ek MPCLINUX   0000     (46) Hestia             20240701
00047    8.20  0.15 K243V  54.16460  315.47573    3.04879    4.97380  0.1303820  0.20144200   2.8820579  0 E2024-C06  4963  77 1860-2024 0.55 M-v 3Ek MPCLINUX   0000     (47) Aglaja             20240121
00048    7.14  0.15 K243V  34.33249  251.02191  183.43111    6.55892  0.0666440  0.17954678   3.1118427  0 E2024-JM0  4048  94 1860-2024 0.65 M-v 3Ek MPCLINUX   0000     (48) Doris              20240508
00049    8.03  0.15 K243V 204.70191  113.33318  284.99657    3.20077  0.2216741  0.18064357   3.0992341  0 E2024-N16  8441  85 1863-2024 0.58 M-v 3Ek MPCLINUX   0000     (49) Pales              20240701
00050    9.47  0.15 K243V 209.72508  200.03156  173.46493    2.83915  0.2848911  0.22825633   2.6516783  0 E2024-N16  7457  71 1857-2024 0.58 M-v 3Ek MPCLINUX   0000     (50) Virginia           20240630
00051    7.75  0.15 K243V 224.65726    1.67000  175.94596    9.97513  0.0665971  0.27071940   2.3665906  0 E2024-C37 11403  90 1863-2024 0.48 M-v 3Ek MPCLINUX   0000     (51) Nemausa            20240202
00052    6.66  0.15 K243V 203.76922  342.91809  128.57922    7.48015  0.1115001  0.18122531   3.0925981  0 E2024-LD5 10544  91 1860-2024 0.47 M-v 3Ek MPCLINUX   0000     (52) Europa             20240613
00053    8.92  0.15 K243V 121.72967  314.27835  143.44861    5.18048  0.2027103  0.23249271   2.6193678  0 E2024-N27  5781  76 1866-2024 0.67 M-v 3Ek MPCLINUX   0000     (53) Kalypso            20240702
00054    7.99  0.15 K243V  55.35009  345.36490  313.22318   11.79574  0.1967667  0.22078484   2.7111687  0 E2024-C06  9208  63 1863-2024 0.38 M-v 3Ek MPCLINUX   0000     (54) Alexandra          20240103
00055    7.86  0.15 K243V  27.99507    5.38500   10.35223    7.17759  0.1449251  0.21485757   2.7608042  0 E2024-E02  4954  70 1863-2024 0.49 M-v 3Ek MPCLINUX   0000     (55) Pandora            20240228
00056    8.57  0.15 K243V 310.75045  104.89761  192.94020    8.08144  0.2372321  0.23543759   2.5974798  0 E2024-N27  4977  69 1865-2024 0.70 M-v 3Ek MPCLINUX   0000     (56) Melete             20240701
00057    7.00  0.15 K243V  99.88237  210.75954  198.89886   15.23636  0.1085555  0.17597462   3.1538137  0 E2024-N16  3737  96 1859-2024 0.84 M-v 3Ek MPCLINUX   0000     (57) Mnemosyne          20240629
00058    9.04  0.15 K243V 335.07849   33.97945  161.06346    5.07231  0.0452679  0.22226270   2.6991374  0 E2024-N27  6241  77 1864-2024 0.68 M-v 3Ek MPCLINUX   0000     (58) Concordia          20240701
00059    8.13  0.15 K243V 196.19975  210.99130  169.92846    8.64779  0.1169343  0.22040952   2.7142457  0 E2024-N27  6028  81 1865-2024 0.63 M-v 3Ek MPCLINUX   0000     (59) Elpis              20240701
00060    8.65  0.15 K243V 328.34989  270.78553  191.53600    3.60077  0.1848872  0.26623195   2.3931097  0 E2024-DC4  6749  73 1861-2024 0.47 M-v 3Ek MPCLINUX   0000     (60) Echo               20240224
00061    7.76  0.15 K243V 255.83027   12.83866  333.55949   18.20313  0.1642072  0.19101438   2.9860151  0 E2024-N16  7746  73 1865-2024 0.51 M-v 3Ek MPCLINUX   0000     (61) Danae              20240629
00062    8.94  0.15 K243V 198.97232  277.59465  125.10904    2.23645  0.1681310  0.17791993   3.1307831  0 E2024-N27  9596  78 1906-2024 0.55 M-v 3Ek MPCLINUX   0000     (62) Erato              20240702
00063    7.13  0.15 K243V 258.36962  295.78551  337.69505    5.77360  0.1282090  0.26602816   2.3943317  0 E2024-N27  6590  79 1861-2024 0.56 M-v 3Ek MPCLINUX   0000     (63) Ausonia            20240701
00064    7.80  0.15 K243V  80.33313  180.97853  308.97401    1.30544  0.1261390  0.22444839   2.6815859  0 E2024-N16  5090  79 1861-2024 0.69 M-v 3Ek MPCLINUX   0000     (64) Angelina           20240701
00065    6.83  0.15 K243V 179.38144  103.38469  155.22285    3.55902  0.1248134  0.15598277   3.4178393  0 E2024-G04  4921  96 1861-2024 0.57 M-v 3Ek MPCLINUX   0000     (65) Cybele             20240401
00066    9.51  0.15 K243V  71.99185   43.34237    7.48489    3.04437  0.1725089  0.22906147   2.6454609  0 E2024-M46  4682  69 1861-2024 0.74 M-v 3Ek MPCLINUX   0000     (66) Maja               20240624
00067    8.42  0.15 K243V  29.14831  107.12275  202.38729    6.02939  0.1843941  0.26154556   2.4216116  0 E2024-M46  8763  67 1864-2024 0.52 M-v 3Ek MPCLINUX   0000     (67) Asia               20240624
00068    6.90  0.15 K243V 283.37573  304.78045   44.05469    7.96112  0.1846044  0.21223235   2.7835242  0 E2024-M93 14583  90 1861-2024 0.40 M-v 3Ek MPCLINUX   0000     (68) Leto               20240627
00069    7.24  0.15 K243V 287.41553  288.48460  184.98513    8.59079  0.1698872  0.19181504   2.9777000  0 E2024-C06  4163  81 1861-2024 0.58 M-v 3Ek MPCLINUX   0000     (69) Hesperia           20240122
00070    8.20  0.15 K243V 129.44824  255.57517   47.65183   11.59806  0.1822267  0.23305433   2.6151580  0 E2024-GF4  5867  68 1861-2024 0.42 M-v 3Ek MPCLINUX   0000     (70) Panopaea           20240410
00071    7.24  0.15 K243V 291.74687  267.08732  315.91545   23.24443  0.1766717  0.21570018   2.7536097  0 E2024-L29  4131  66 1864-2024 0.55 M-v 3Ek MPCLINUX   0000     (71) Niobe              20240601
00072    9.08  0.15 K243V 166.73975  102.88262  207.93417    5.41849  0.1215015  0.28903155   2.2655442  0 E2024-KD4  6120  66 1865-2024 0.46 M-v 3Ek MPCLINUX   0000     (72) Feronia            20240528
00073    9.09  0.15 K243V 200.76487   56.12716    6.84384    2.36940  0.0421525  0.22654830   2.6649896  0 E2024-N16  6034  59 1864-2024 0.64 M-v 3Ek MPCLINUX   0000     (73) Klytia             20240701
00074    8.95  0.15 K243V 296.84768  174.81744  197.11746    4.07198  0.2362696  0.21257022   2.7805739  0 E2024-MB4  8512  68 1864-2024 0.58 M-v 3Ek MPCLINUX   0000     (74) Galatea            20240628
