id;code;name;description
1059;MaffeiPaolo Maffei (for example: galaxies Maffei 1 and Maffei 2 in Cassiopeia);
1060;Markarian;?
1061;Mayall;Mayall-Cannon (planetary nebulae)
1062;Menzel;planetary nebulae
1063;Merrill;Merrill (planetary nebulae)
1064;MK;??
1065;Moffat;open star clusters
1066;Nassau;planetary nebulae
1067;Ns;??
1068;OCL;??
1069;PB;Peimbert-Batiz (planetary nebulae)
1070;PC;Peimbert-Costero (planetary nebulae)
1071;Peimbert;planetary nebulae
1072;Pe;Perek (planetary nebulae)
1073;PuWe;Purgathofer-Weinberger (planetary nebulae)
1074;Sanduleak4;Sanduleak (planetary nebulae)
1075;SaSt;??
1076;SB;Sylvie Beaulieu (planetary nebulae)
1077;Shane;Shane (planetary nebulae)
1078;Shapley;Shapley (planetary nebulae)
1079;Sher;Sher (open star clusters) (for example: Sher 1 at 11:01:04 / -60:14:00)
1080;SIM;??
1081;Simeiz;??
1082;Sp;Shapley (planetary nebulae)n
1083;St;??
1084;Ste;??
1085;Steph;??
1086;StWr;Stock-Wroblewski (planetary nebulae)
1087;SwSt;SwSt - Swings-Struve (planetary nebulae)
1088;Th;??
1089;The;??
1090;Ton;Tonantzintla (globular star clusters)
1091;Tonantzintla;Tonantzintla (globular star clusters)
1092;UGCA;Uppsala Selected non-UGC Galaxies
1093;Upgren;Upgren (open star clusters) (only one object in this catalogue? Upgren 1) (probably Arthur R. Upgren, 1933-2017)
1094;VBRC;??
1095;Vd;Vandervort (planetary nebulae)
1096;Vd1;??
1097;vdb;Van den Bergh
1098;Velghe;??
1099;VV1;Vorontsov-Vel'yaminov Interacting Galaxies (Boris Aleksandrovich Vorontsov-Vel'yaminov)¨
1100;Waterloo;Waterloo (open star clusters)
1101;We;Weinberger (planetary nebulae)
1102;WeDe;Weinberger-Dengle (planetary nebulae)
1103;WeSb;Weinberger-Sabbadin (planetary nebulae)
1104;Winnecke;Winnecke Catalogue of Double Stars
1105;Wray;?? (planetary nebulae)
1106;YM;?? (planetary nebulae)
