DSO_NAME;
NGC 6934
NGC 6940
NGC 6946
NGC 6960
M72
NGC 6992
NGC 7000
M73
NGC 7023
NGC 7008
NGC 7009
NGC 7026
NGC 7027
NGC 7039
NGC 7063
M15
M39
M2
NGC 7090
IC 1396
M30
NGC 7129
IC 5146
NGC 7160
NGC 7184
NGC 7209
NGC 7217
NGC 7243
NGC 7293
NGC 7320
NGC 7331
NGC 7410
IC 1459
NGC 7479
NGC 7510
NGC 7507
NGC 7619
NGC 7635
M52
NGC 7662
NGC 7686
NGC 7789
NGC 7793
