DSO_NAME;
NGC7009
NGC7293
M1-1
Vy2-3
NGC7662
K1-20
BoBn1
NGC246
NGC1360
# Pease 1
NGC7094
Jn1
Abell82
Abell83
Abell84
Vy1-1
BV1
Hu1-1
BV2
Abell2
HDW1
K3-90
Sh2-188
IC1747
K3-92
Abell3
IC289
Sh2-200
M76
BV3
Abell4
M1-4
IC351
IsWe1
IC2003
NGC1535
Ba1
NGC1514 
