DSO_NAME;
Abell31
M13
M32
M33
M47
M52
M63
M81
M92
M101
M103
Mel20
NGC129
NGC147
NGC185
NGC225
NGC281
NGC457
NGC663
NGC684
NGC772
NGC869
NGC1023
NGC1084
NGC1141
NGC1275
NGC1931
NGC2403
NGC2467
NGC2811
NGC3717
NGC4302
NGC4435
NGC4536
NGC4546
NGC4559
NGC4618
NGC4666
NGC4725
NGC5033
NGC5247
NGC6322
NGC6939
NGC6946
NGC7209
NGC7243
NGC7296
NGC7331
NGC7640
NGC7814
