DSO_NAME;
K3-94
NGC1501
M2-2
M4-18
# Kn33
IC3568 
PuWe1
Abell16 
PK164+31.1
Abell30
Abell31
NGC2610
Abell33
Abell34
NGC3242 
Abell35
# IRAS 9371+1212 
Abell28
M97
NGC4361
Abell36
IC972 
LoTr5
H4-1
Me2-1
Sn1
Abell41
Sa2-230 
Sh2-68
K3-4
NGC6058
IC4593
Abell39
DoDz1
NGC6210
Sa4-1
Vy1-2
M3-27
Hu2-1
IC4634
M2-9
# DHW1-2
Na1
NGC6309 
NGC6369
Abell42
M1-22 
Abell43
NGC6572
